,correlation_with_price
sqft_living,0.7020350546118005
grade,0.6674342560202353
sqft_above,0.6055672983560784
sqft_living15,0.5853789035795692
bathrooms,0.52573751112427
view,0.39729348829450273
sqft_basement,0.3238160207119844
bedrooms,0.3087968022200232
lat,0.30700347999525446
waterfront,0.26636943403060204
floors,0.25679388755071897
yr_renovated,0.1264337934408933
sqft_lot,0.0896608605871003
sqft_lot15,0.08244715251948544
yr_built,0.05401153149479249
condition,0.03636178912899721
long,0.021626241039337152
zipcode,-0.05320285429829216
